SA2_NAME,SA2_MAINCODE,Number of available beds,Population,Weekly_Earnings,No_of_Dwellings,No_of_employed_persons,No_of_tertiary_educated,Monthly_Mortgage_Repayment,Number_of_renters,No_of_indigenous_ppl
Longford,602031060,2.0,4050.0,1512.0,1844.0,1631,341.0,467.0,444,3
Longreach,315031412,23.0,3727.0,1528.0,2360.0,1938,402.0,394.0,605,9
Lord Howe Island,108031161,0.1,414.0,134.0,221.0,225,48.0,26.0,51,0
Lorne - Anglesea,203031049,9.0,5261.0,1784.0,6658.0,2277,1229.0,460.0,447,4
Loxton,407031162,22.0,5491.0,2082.0,2502.0,2357,410.0,696.0,549,3
Loxton Region,407031163,59.0,1735.0,652.0,874.0,774,101.0,207.0,132,0
Lurnea - Cartwright,127031599,821.7,0,0,4054.0,3425,753.0,0,1482,3
Lyndoch,405011112,22.0,6318.0,1959.0,2367.0,2960,644.0,1026.0,280,0
Lyons (NT),701021021,1243.0,5076.0,638.0,1724.0,2582,984.0,134.0,795,18
Lysterfield,211011255,179.0,6917.0,1899.0,2091.0,3702,1130.0,1159.0,142,0
Mackay,312021346,227.0,3793.0,1594.0,2187.0,1511,488.0,262.0,965,37
Mackay Harbour,312021347,227.0,537.0,199.0,329.0,267,111.0,42.0,93,0
Macksville - Scotts Head,108021157,40.6,4896.0,1812.0,2332.0,1603,397.0,457.0,490,15
Maclean - Yamba - Iluka,104011082,42.7,16567.0,6437.0,9172.0,5308,1608.0,1412.0,1922,7
Macquarie Park - Marsfield,126021500,352.6,22689.0,7077.0,8938.0,10165,8486.0,1796.0,3976,3
Maffra,205051101,9.0,13973.0,5043.0,6402.0,6065,1216.0,1848.0,1002,4
Maitland,106021114,176.5,6768.0,1781.0,2716.0,2941,676.0,619.0,791,15
Maitland - North,106021116,176.5,7761.0,2261.0,2831.0,3713,1236.0,1031.0,368,15
Maitland - West,106021117,176.5,23091.0,6467.0,8868.0,9845,1603.0,2553.0,2683,41
Malabar - La Perouse - Chifley,118021350,341.7,25045.0,6826.0,8758.0,10228,4276.0,1981.0,2609,17
Malanda - Yungaburra,306051169,127.0,8565.0,3036.0,4325.0,3570,1011.0,780.0,712,17
Malmalling - Reservoir,504021052,22.0,10.0,3.0,5.0,4,0.0,0.0,0,0
Manjimup,501031019,21.7,5602.0,2057.0,2580.0,2529,358.0,659.0,650,0
Manly - Fairlight,122011419,47.4,23655.0,8561.0,11172.0,12282,8791.0,1967.0,4158,3
Mannum,407031164,45.0,6333.0,2380.0,4601.0,2350,394.0,723.0,517,0
Manoora,306021151,652.0,6220.0,2308.0,2991.0,2121,499.0,491.0,1441,288
